ERROR - 2023-07-20 22:20:23,720.в строке 032 функция "convert_date()" в 1689880823.7209425   Текст не соответствует формату
ERROR - 2023-07-20 22:21:03,147.в строке 032 функция "convert_date()" в 1689880863.1476464   Текст не соответствует формату
ERROR - 2023-07-20 22:21:33,508.в строке 032 функция "convert_date()" в 1689880893.5087738   Текст не соответствует формату - 2 чеверг марта
ERROR - 2023-07-20 22:38:52,004.в строке 032 функция "convert_date()" в 1689881932.0040233   Текст не соответствует формату - 1-й 3 7
ERROR - 2023-07-20 23:03:14,798.в строке 032 функция "convert_date()" в 1689883394.7986598   Текст не соответствует формату - 2 чеверг марта
ERROR - 2023-07-20 23:03:20,688.в строке 032 функция "convert_date()" в 1689883400.6882367   Текст не соответствует формату - 1-й 3 7
ERROR - 2023-07-20 23:04:46,474.в строке 032 функция "convert_date()" в 1689883486.4744349   Текст не соответствует формату - 6-й вторник октября
ERROR - 2023-07-20 23:08:22,799.в строке 035 функция "convert_date()" в 1689883702.7993298   Текст не соответствует формату - 2 чеверг марта
ERROR - 2023-07-20 23:20:04,940.в строке 042 функция "convert_date()" в 1689884404.9406383   Текст не соответствует формату - 1-й 10 14
ERROR - 2023-07-20 23:22:01,781.в строке 042 функция "convert_date()" в 1689884521.7817454   Текст не соответствует формату - 1-й 10 14
ERROR - 2023-07-20 23:22:43,005.в строке 042 функция "convert_date()" в 1689884563.005894   Текст не соответствует формату - 6-й 2 10
